BlockName,X,Y,Z,CODE,DESC,ELEV,ELEV2,NAME,NOTE,NOTE2,PNTS
Point-Underhill,970.797,1080.586,55.335,41,curb,55.335,,,,,20011
Point-Underhill,967.771,1084.254,55.800,41,curb,55.800,,,,,20011
Point-Underhill,964.746,1087.921,56.265,41,curb,56.265,,,,,20011
Point-Underhill,847.337,978.684,54.045,39,pavement,54.045,,,,,10510
Point-Underhill,843.907,982.834,54.660,39,pavement,54.660,,,,,10510
Point-Underhill,840.477,986.985,55.275,39,pavement,55.275,,,,,10510
Point-Underhill,833.523,995.401,56.434,39,pavement,56.434,,,,,10546
Point-Underhill,829.999,999.666,56.978,39,pavement,56.978,,,,,10546
Point-Underhill,826.474,1003.930,57.522,39,pavement,57.522,,,,,10546
Point-Underhill,822.950,1008.195,58.066,39,pavement,58.066,,,,,10546
Point-Underhill,819.426,1012.460,58.610,39,pavement,58.61,,,,,10546
Point-Underhill,885.620,932.294,46.371,42,gutter,47.30,,,,,10787
Point-Underhill,877.357,942.355,48.183,39,pavement,48.06,,,,,10435
Point-Underhill,988.073,1059.657,52.374,42,gutter,52.44,,,,,10088
Point-Underhill,949.025,1106.972,58.829,39,pavement,58.81,,,,,10128
Point-Underhill,955.319,1099.345,57.788,39,pavement,57.82,,,,,10129
Point-Underhill,1021.855,1018.789,49.020,42,gutter,49.02,,,,,10007
Point-Underhill,1009.414,1033.851,49.020,42,gutter,49.02,,,,,10007
Point-Underhill,1008.613,1034.821,49.100,42,gutter,49.10,,,,,10010
Point-Underhill,999.650,1045.672,50.390,42,gutter,50.39,,,,,10061
Point-Underhill,995.649,1050.516,51.230,39,pavement,51.23,,,,,10044
Point-Underhill,981.648,1067.465,53.640,39,pavement,53.64,,,,,10095
Point-Underhill,898.419,916.866,47.300,42,gutter,47.30,,,,,10788
Point-Underhill,959.536,967.329,48.130,42,gutter,48.13,,,,,10957
Point-Underhill,953.728,962.533,48.030,42,gutter,48.03,,,,,10947
Point-Underhill,951.308,960.536,47.970,42,gutter,47.97,,,,,10946
Point-Underhill,944.301,954.742,47.920,42,gutter,47.92,,,,,10805
